name,#,wpm,accuracy,raw,date,consistency
citrus,2089,183.20,100.00%,183.20,89.18%,14 Oct 2020,21:59
Yanik,2090,183.20,99.57%,184.00,90.57%,11 Nov 2022,03:15
williamzfan,2091,183.20,99.57%,183.20,86.60%,31 Oct 2022,12:19
Wily,2092,183.20,99.13%,183.20,85.62%,20 Jul 2023,13:13
gltchitm,2093,183.20,98.73%,189.60,91.93%,21 Oct 2022,14:17
towelcat,2094,183.20,98.72%,188.00,89.66%,16 Mar 2023,11:12
phea59314,2095,183.20,98.72%,187.20,92.67%,06 Aug 2022,04:12
pipe,2096,183.20,98.72%,187.20,93.46%,02 May 2021,05:13
jackchapman,2097,183.20,98.29%,187.20,91.00%,18 Apr 2023,13:29
fruitsnacks,2098,183.20,97.90%,190.40,90.27%,26 Sep 2022,14:39
paulfertig,2099,183.20,97.88%,188.80,88.52%,10 Jan 2023,19:48
natejam,2100,183.20,97.48%,190.40,90.83%,07 Aug 2022,16:54
natejam,2100,183.20,97.48%,190.40,90.83%,07 Aug 2022,16:54
hehehe_yup,2101,183.20,97.03%,188.80,86.98%,20 Jul 2023,00:05
jjw_kb,2102,183.20,97.03%,188.80,92.49%,22 Sep 2021,23:41
daddydreamz,2103,183.20,95.24%,201.60,85.39%,19 Jun 2023,16:39
sumadoratyper,2104,183.20,94.07%,202.40,90.85%,13 Nov 2023,09:12
smallbirb2,2105,183.19,98.72%,187.99,88.90%,09 Nov 2023,20:19
eXeleonlouise,2106,183.18,100.00%,183.18,88.92%,28 Sep 2023,08:31
seph1,2107,183.18,100.00%,183.18,88.17%,28 Aug 2023,00:44
compcat,2108,183.18,99.13%,183.18,82.77%,13 Oct 2023,16:39
ZatorcZ,2109,183.18,98.32%,189.57,90.55%,11 Dec 2023,10:27
Imbadlol,2110,183.17,100.00%,183.17,91.22%,19 Dec 2023,14:42
GzxSpeedz,2111,183.17,100.00%,183.17,91.90%,21 Nov 2023,20:28
tubby,2112,183.17,100.00%,183.17,90.29%,24 Mar 2021,21:08
temmo,2113,183.16,100.00%,183.16,88.17%,22 Dec 2023,17:11
Flat_Stanyl,2114,183.16,100.00%,183.16,88.92%,02 Mar 2021,19:13
arnlee30,2115,183.16,100.00%,183.16,90.29%,06 Nov 2020,01:46
henrytran2021,2116,183.16,98.72%,187.96,90.48%,01 Nov 2023,20:02
alexisz,2117,183.16,98.72%,187.15,90.12%,12 Apr 2021,17:43
juuzytypes,2118,183.16,94.23%,207.96,84.28%,06 Nov 2023,16:06
z_ph.yr,2119,183.15,100.00%,183.15,90.29%,27 Oct 2023,13:48
tez,2120,183.15,100.00%,183.15,92.26%,06 May 2021,23:45
Clanksits,2121,183.15,99.13%,183.95,92.21%,04 Sep 2023,20:57
d1v1n3,2122,183.15,98.30%,187.95,91.70%,06 Dec 2023,08:17
cheesce,2123,183.15,96.30%,191.95,87.41%,02 May 2021,06:29
lsolo,2124,183.14,100.00%,183.14,92.26%,15 Sep 2023,14:29
eatkebab,2125,183.14,100.00%,183.14,95.55%,02 Aug 2023,03:54
draem,2126,183.14,100.00%,183.14,90.00%,23 Mar 2021,09:55
DavidG_CHS,2127,183.14,98.36%,195.13,91.46%,16 Dec 2023,02:23
cheese17,2128,183.13,100.00%,183.13,92.64%,05 Dec 2023,09:53
traxaber,2129,183.13,100.00%,183.13,93.92%,18 Oct 2023,22:32
0x157,2130,183.13,100.00%,183.13,91.55%,12 Oct 2023,01:33
CacoPholey,2131,183.13,99.57%,183.13,81.97%,13 Aug 2023,13:12
aStonedLlama,2132,183.13,99.15%,187.93,92.39%,27 Sep 2023,02:09
OscarLi9832,2133,183.13,99.14%,186.33,91.25%,26 Nov 2023,21:26
CreepetPer,2134,183.13,98.71%,183.13,89.48%,28 Sep 2023,07:21
muneebsheh,2135,183.13,97.87%,187.92,83.91%,07 Nov 2023,01:37
Heiho,2136,183.12,100.00%,183.12,86.58%,26 Aug 2023,22:21
measly,2137,183.12,99.13%,183.12,90.00%,17 Dec 2023,20:52
tourlife,2138,183.12,99.13%,183.12,87.28%,25 Jul 2021,00:33
aurelia_gray,2139,183.09,97.13%,195.09,88.90%,25 Jul 2021,21:49
Lyamon,2140,183.08,100.00%,183.08,90.29%,29 Jul 2023,16:16
BillLu,2141,183.08,100.00%,183.08,88.41%,13 Jun 2023,15:37
Ezallium,2142,183.08,100.00%,183.08,88.92%,20 May 2023,05:34
wintercolemak,2143,183.08,100.00%,183.08,90.59%,19 May 2023,03:14
Need_Evidence,2144,183.08,100.00%,183.08,92.26%,06 May 2023,14:47
stomper387,2145,183.08,100.00%,183.08,88.66%,30 Apr 2023,01:42
aethernolt,2146,183.08,100.00%,183.08,91.55%,23 Apr 2023,00:37
jackkyyyy,2147,183.08,100.00%,183.08,93.04%,21 Jan 2023,20:16
jahcbo,2148,183.08,100.00%,183.08,87.24%,02 Dec 2022,17:49
Shivanshu,2149,183.08,100.00%,183.08,91.22%,21 Oct 2022,09:30
Mssniffy,2150,183.08,100.00%,183.08,88.66%,07 Sep 2022,22:23
Mssniffy,2150,183.08,100.00%,183.08,88.66%,07 Sep 2022,22:23
seldomtypes,2151,183.08,100.00%,183.08,87.70%,18 Jul 2022,13:28
Taytea,2152,183.08,100.00%,183.08,90.90%,26 May 2022,19:44
LokiWebster,2153,183.08,100.00%,183.08,90.59%,28 Mar 2022,12:49
pookymon,2154,183.08,100.00%,183.08,92.26%,06 Jan 2022,21:10
DrewWitta,2155,183.08,100.00%,183.08,90.90%,22 Sep 2021,17:10
Angelo3456,2156,183.08,100.00%,183.08,52.33%,08 Sep 2021,19:02
kaka1232133,2157,183.08,99.57%,183.08,90.88%,15 Jul 2023,02:38
classyduck,2158,183.08,99.57%,183.08,86.60%,10 Feb 2023,15:13
Hexishu,2159,183.08,99.57%,187.87,86.88%,19 Sep 2022,18:04
JamesandJohn,2160,183.08,99.57%,183.08,90.88%,23 Jul 2022,15:11
T_0nio,2161,183.08,99.15%,187.87,91.07%,13 Mar 2022,19:19
tineuphoria,2162,183.08,98.73%,189.47,86.29%,28 Jun 2022,17:18
corhtex,2163,183.08,98.71%,183.08,87.54%,18 Sep 2022,06:51
chaipeelo,2164,183.08,98.33%,191.87,92.43%,25 Aug 2021,18:18
bruteforceboy,2165,183.08,98.32%,189.47,88.30%,05 Feb 2023,11:19
roc0ast3r,2166,183.08,98.30%,187.87,92.39%,21 Nov 2023,13:45
royaljaat,2167,183.08,97.49%,191.07,88.90%,04 Jul 2023,12:45
iggyispretty,2168,183.08,97.46%,188.67,89.76%,17 May 2023,14:57
SorryImSlow,2169,183.08,97.11%,193.47,89.18%,23 Jul 2022,20:10
StxrmBlessed,2170,183.08,95.56%,198.27,90.41%,15 Sep 2021,19:46
Triggeredd,2171,183.08,93.00%,205.46,85.41%,28 Jun 2023,15:17
Abdotheboi,2172,183.06,99.57%,186.26,88.76%,06 Oct 2023,09:31
pixelgasm,2173,183.05,100.00%,183.05,90.29%,17 Aug 2023,10:14
Dxriuz,2174,183.03,100.00%,183.03,88.66%,06 Sep 2023,13:19
Mobiloqr,2175,183.02,95.24%,201.40,86.92%,18 Apr 2021,19:14
jacktheboy211,2176,183.00,100.00%,183.00,90.00%,24 Oct 2023,08:03
AstroPixel24,2177,182.98,100.00%,182.98,89.72%,04 Oct 2023,20:12
Sling,2178,182.96,100.00%,182.96,89.72%,24 Feb 2023,13:47
iov,2179,182.96,100.00%,182.96,92.64%,25 Nov 2022,20:22
DTGPlayz,2180,182.96,100.00%,182.96,62.39%,13 Apr 2022,14:22
vitto,2181,182.96,100.00%,182.96,89.18%,10 Jan 2022,04:37
turtletortles,2182,182.96,99.57%,184.55,91.19%,03 Mar 2023,16:40
16007644csd,2183,182.95,96.65%,190.14,84.72%,09 Jun 2021,11:18
xPanda,2184,182.83,95.14%,197.21,90.17%,04 Apr 2023,20:21
sleehwtoh,2185,182.40,100.00%,182.40,88.18%,25 Jul 2023,09:42
quppyy,2186,182.40,100.00%,182.40,88.43%,20 Jun 2023,20:24
patekzito,2187,182.40,100.00%,182.40,90.95%,22 Apr 2023,19:10
JamesNotJimbo,2188,182.40,100.00%,182.40,90.63%,16 Apr 2023,07:27
mike_v1,2189,182.40,100.00%,182.40,89.20%,01 Apr 2023,08:06
Brody7077,2190,182.40,100.00%,182.40,92.33%,20 Mar 2023,20:00
Bamboozeled,2191,182.40,100.00%,182.40,88.43%,26 Feb 2023,21:08
kekitsu,2192,182.40,100.00%,182.40,93.12%,10 Jan 2023,03:21
Soleq,2193,182.40,100.00%,182.40,90.04%,18 Jun 2022,22:33
InvaderChew,2194,182.40,100.00%,182.40,92.71%,01 Jun 2022,22:11
euwern,2195,182.40,99.57%,184.00,87.03%,21 Jan 2023,02:59
bearboybaba,2196,182.40,99.57%,185.60,87.10%,04 Oct 2022,16:16
CheesyCrust,2197,182.40,99.56%,182.40,89.18%,05 Jun 2022,00:13
Loopy_888,2198,182.40,98.72%,188.00,88.66%,09 Feb 2023,16:32
pogo,2199,182.40,98.72%,187.20,90.41%,14 Oct 2020,16:25
emil.young,2200,182.40,98.71%,185.60,86.88%,07 Jul 2023,08:24
emil.young,2200,182.40,98.71%,185.60,86.88%,07 Jul 2023,08:24
The_goat_ish,2201,182.40,97.48%,190.40,90.83%,16 Jun 2023,21:16
jam,2202,182.40,97.48%,190.40,92.77%,15 Sep 2021,15:25
Zypher480,2203,182.40,97.46%,187.20,81.95%,29 Jun 2023,02:33
Meowarino,2204,182.40,97.45%,188.00,94.45%,24 Jan 2022,16:20
Scytro,2205,182.40,97.12%,194.40,91.21%,15 May 2023,01:48
tanmaik,2206,182.40,96.68%,191.20,90.78%,29 Nov 2021,12:43
InACoalMine,2207,182.40,96.33%,196.00,88.90%,21 Mar 2023,20:33
nerfedcookie,2208,182.39,100.00%,182.39,89.75%,01 Oct 2023,18:50
Crryo,2209,182.39,100.00%,182.39,88.68%,19 Sep 2023,14:16
dev1ce,2210,182.39,100.00%,182.39,89.75%,18 Sep 2023,03:05
RyanKim,2211,182.39,100.00%,182.39,91.96%,29 Dec 2020,04:06
Koogy,2212,182.39,100.00%,182.39,91.61%,31 Oct 2020,13:20
zopitty,2213,182.39,99.13%,182.39,90.57%,04 Nov 2023,06:07
QwerTea,2214,182.39,98.72%,187.98,91.07%,14 Dec 2023,18:05
D3cey,2215,182.39,98.72%,187.99,89.40%,04 Nov 2023,12:55
catchalk,2216,182.39,97.88%,187.99,83.19%,04 Aug 2023,13:31
okaycham,2217,182.39,96.27%,190.39,89.23%,26 May 2021,12:58
akdk,2218,182.39,95.47%,194.39,89.87%,24 Sep 2023,09:49
Xell,2219,182.38,100.00%,182.38,90.04%,04 Oct 2023,13:45
notacoffeeguy,2220,182.38,100.00%,182.38,88.94%,17 Sep 2023,04:35
kaiona,2221,182.38,100.00%,182.38,89.47%,21 Aug 2023,09:41
iodbc,2222,182.38,100.00%,182.38,91.61%,07 Aug 2023,20:52
Sweefty,2223,182.38,99.57%,186.38,89.79%,13 Nov 2023,08:59
163cens,2224,182.38,99.13%,182.38,88.17%,29 Apr 2021,05:09
sammylalaboo,2225,182.38,94.88%,203.18,92.39%,07 Nov 2023,03:11
kevhjc,2226,182.37,100.00%,182.37,90.95%,13 Dec 2023,15:46
allieaf,2227,182.37,100.00%,182.37,91.61%,10 Oct 2023,16:43
ryan0816,2228,182.37,98.72%,187.17,90.70%,20 Oct 2023,19:33
jawadrzq,2229,182.37,98.71%,185.57,89.75%,22 Aug 2023,09:43
merp,2230,182.37,97.10%,192.77,90.50%,14 Oct 2023,13:57
Wybz,2231,182.36,100.00%,182.36,89.75%,25 Nov 2023,21:34
Fizzy,2232,182.36,100.00%,182.36,91.61%,08 Nov 2023,06:35
6aut,2233,182.36,100.00%,182.36,87.70%,24 Oct 2023,13:13
infin1ty111,2234,182.36,100.00%,182.36,90.95%,25 Aug 2023,21:49
eternalnightmare,2235,182.36,98.73%,188.76,90.58%,20 Dec 2023,12:02
iansid,2236,182.36,97.94%,194.36,92.46%,12 Dec 2023,22:42
megjchan,2237,182.36,97.89%,187.96,84.81%,09 Dec 2020,01:33
RFmiNi,2238,182.36,97.08%,191.96,89.30%,30 Oct 2023,14:20
267,2239,182.35,100.00%,182.35,90.04%,24 Jul 2021,15:30
maymdien,2240,182.35,100.00%,182.35,89.47%,02 Apr 2021,13:54
Prime_Number9439,2241,182.33,100.00%,182.33,90.33%,14 Dec 2023,21:12
ruffleduck,2242,182.33,100.00%,182.33,91.27%,02 Nov 2023,18:40
MrTeeEnTee,2243,182.33,100.00%,182.33,85.95%,02 Oct 2023,22:14
typedoc,2244,182.33,100.00%,182.33,87.94%,07 Jul 2021,04:09
Gray,2245,182.33,100.00%,182.33,93.12%,02 Jun 2021,02:50
spectretempest,2246,182.32,100.00%,182.32,89.75%,19 Nov 2023,13:47
Ms.OldField,2247,182.31,100.00%,182.31,92.33%,31 Aug 2023,11:21
DRC101,2248,182.31,97.49%,191.11,89.63%,16 Nov 2023,18:37
gr0undhog,2249,182.30,100.00%,182.30,92.33%,02 Oct 2023,00:40
ilikepengiuns,2250,182.29,97.06%,190.29,88.07%,28 Oct 2023,16:44
ilikepengiuns,2250,182.29,97.06%,190.29,88.07%,28 Oct 2023,16:44
inky2_,2251,182.28,100.00%,182.28,90.95%,30 Oct 2023,00:23
Xyroh,2252,182.28,100.00%,182.28,91.27%,09 Aug 2023,05:07
hoonman,2253,182.28,100.00%,182.28,93.12%,02 Jul 2023,00:30
Ijzerkoekje,2254,182.28,100.00%,182.28,87.02%,09 Jun 2023,07:57
akarion,2255,182.28,100.00%,182.28,91.61%,08 Jun 2023,19:43
dababyltesgo,2256,182.28,100.00%,182.28,87.47%,05 Jun 2023,08:34
Giant_Fallen,2257,182.28,100.00%,182.28,89.47%,03 Jun 2023,16:34
KobyRenfert,2258,182.28,100.00%,182.28,89.75%,23 May 2023,15:52
scarecrow1,2259,182.28,100.00%,182.28,91.96%,09 Apr 2023,10:50
90mq,2260,182.28,100.00%,182.28,87.70%,27 Mar 2023,23:22
Weelys,2261,182.28,100.00%,182.28,90.33%,23 Mar 2023,17:14
BlaixenU,2262,182.28,100.00%,182.28,92.33%,18 Feb 2023,09:20
cayas,2263,182.28,100.00%,182.28,89.47%,19 Jan 2023,21:42
Dgtrz3146,2264,182.28,100.00%,182.28,86.37%,19 Jan 2023,11:41
Azianned,2265,182.28,100.00%,182.28,90.63%,29 Dec 2022,16:02
Kevaasaurus,2266,182.28,100.00%,182.28,94.02%,02 Dec 2022,21:39
Slacker,2267,182.28,100.00%,182.28,92.33%,20 Mar 2022,21:20
andal,2268,182.28,100.00%,182.28,86.58%,18 Feb 2022,21:17
cannibowlistic,2269,182.28,100.00%,182.28,90.63%,03 Nov 2021,08:25
JJon_monkey,2270,182.28,100.00%,182.28,89.75%,15 Oct 2021,10:17
mqkise,2271,182.28,99.15%,188.67,91.17%,09 Jan 2023,12:57
catnoises,2272,182.28,99.14%,182.28,87.10%,18 Apr 2023,04:29
Fire9,2273,182.28,99.14%,185.48,86.26%,01 Mar 2023,09:37
Trainjumper,2274,182.28,99.14%,186.28,88.28%,26 Feb 2022,15:23
onurgul,2275,182.28,98.72%,187.87,88.90%,11 Dec 2022,21:35
wilwil,2276,182.28,98.70%,184.68,89.19%,03 Apr 2023,21:43
QwertyWertay,2277,182.28,98.70%,184.68,81.21%,05 Dec 2021,22:40
iamSora,2278,182.28,98.28%,186.28,87.82%,02 Mar 2023,17:50
haygen,2279,182.28,97.89%,187.87,90.42%,07 Jun 2023,23:56
JackMichaelson,2280,182.28,97.49%,191.07,90.70%,02 Nov 2021,14:03
aydens,2281,182.28,97.44%,182.28,80.21%,30 Apr 2023,21:48
Fritter17,2282,182.28,97.03%,187.08,83.03%,23 Jul 2023,00:11
stacktoo,2283,182.27,100.00%,182.27,88.18%,03 Aug 2023,20:58
n810,2284,182.26,100.00%,182.26,92.33%,13 Oct 2023,20:24
Arctic,2285,182.26,98.71%,186.25,85.92%,24 Sep 2023,18:26
PlasmaVolt,2286,182.25,100.00%,182.25,89.47%,05 Oct 2023,22:06
nuggetbucket54,2287,182.23,98.73%,188.62,93.66%,05 Dec 2023,12:50
dolphin_kden,2288,182.21,99.57%,182.21,86.81%,16 Dec 2023,08:57
Orthinian,2289,182.20,100.00%,182.20,90.63%,26 Aug 2023,22:44
yesmatt,2290,182.16,100.00%,182.16,86.80%,09 Oct 2022,10:51
xVaxes,2291,182.16,98.71%,186.15,90.94%,08 Jun 2022,01:35
Kaloy,2292,182.16,96.40%,199.73,90.53%,02 Aug 2022,03:43
Tyxton,2293,182.12,96.27%,192.50,72.58%,05 May 2021,13:48
PlasmaShot,2294,182.04,100.00%,182.04,89.75%,04 Apr 2023,23:21
Crabz__,2295,182.04,100.00%,182.04,91.96%,01 Mar 2023,17:01
peaceinchrist,2296,182.04,99.57%,184.43,83.27%,27 Aug 2022,10:46
clayg110,2297,182.04,97.08%,189.22,83.23%,19 Jul 2023,09:29
Ronald7232,2298,182.04,90.77%,207.58,92.50%,15 May 2023,11:35
mettzio,2299,181.96,99.14%,185.95,93.41%,21 Nov 2023,15:28
chinesetyper1123,2300,181.91,100.00%,181.91,87.94%,18 Mar 2023,22:53
chinesetyper1123,2300,181.91,100.00%,181.91,87.94%,18 Mar 2023,22:53
nuni,2301,181.91,100.00%,181.91,90.95%,30 Aug 2022,03:57
swodo,2302,181.60,100.00%,181.60,90.39%,10 Dec 2023,22:43
thatmonstrosity,2303,181.60,100.00%,181.60,91.34%,23 Jul 2023,16:57
__008,2304,181.60,100.00%,181.60,91.34%,08 Jul 2023,12:30
coyote,2305,181.60,100.00%,181.60,85.55%,13 Jun 2023,04:40
sttevenle,2306,181.60,100.00%,181.60,90.70%,03 Jun 2023,08:10
daddyyyyyy,2307,181.60,100.00%,181.60,84.58%,30 May 2023,16:49
rttf,2308,181.60,100.00%,181.60,91.69%,06 May 2023,23:09
PapiZoom,2309,181.60,100.00%,181.60,93.23%,06 May 2023,02:29
heda,2310,181.60,100.00%,181.60,92.42%,04 May 2023,03:25
bodrul,2311,181.60,100.00%,181.60,91.34%,25 Jan 2023,21:06
BiggieBro,2312,181.60,100.00%,181.60,92.05%,31 Dec 2022,03:52
notGentle,2313,181.60,100.00%,181.60,91.01%,19 Dec 2022,01:35
tungm,2314,181.60,100.00%,181.60,92.82%,05 Dec 2022,11:08
iKappyyyy,2315,181.60,100.00%,181.60,87.73%,21 Sep 2022,16:35
ilvnosg,2316,181.60,100.00%,181.60,84.96%,30 Aug 2022,04:24
-thunderbird-,2317,181.60,100.00%,181.60,93.23%,19 Aug 2022,14:13
MannyPack,2318,181.60,100.00%,181.60,92.05%,16 Aug 2022,08:41
DaniiBoii,2319,181.60,100.00%,181.60,90.09%,03 Aug 2022,02:54
alostman,2320,181.60,100.00%,181.60,89.80%,31 Jul 2022,23:15
lukasTHEwise,2321,181.60,100.00%,181.60,92.05%,13 Feb 2022,17:33
CryoTitan,2322,181.60,100.00%,181.60,93.68%,12 Oct 2021,22:17
faderob,2323,181.60,100.00%,181.60,90.39%,30 Aug 2021,14:50
TiredxFingers,2324,181.60,99.57%,185.60,91.21%,31 Dec 2022,19:32
ThisisYashil,2325,181.60,99.56%,181.60,90.33%,10 Jul 2023,06:44
Krvnchy,2326,181.60,99.56%,181.60,86.80%,21 May 2023,15:00
xap,2327,181.60,99.13%,181.60,86.81%,04 Jan 2022,20:18
App,2328,181.60,98.71%,185.60,89.48%,07 Oct 2022,09:36
Physicx101,2329,181.60,98.71%,185.60,91.21%,24 Aug 2022,07:03
bloodyducks,2330,181.60,98.71%,185.60,91.87%,23 Jun 2022,05:27
Rainswolf,2331,181.60,98.28%,185.60,90.60%,20 May 2023,20:02
potatocat,2332,181.60,98.28%,186.40,89.01%,19 Jun 2022,11:18
ColemakDvorak,2333,181.60,97.85%,186.40,88.28%,11 May 2023,23:53
HITLERONOSU,2334,181.60,97.51%,192.80,89.72%,29 Jul 2023,02:16
pfertig,2335,181.60,97.47%,189.60,91.60%,28 Jan 2022,13:17
BusDriver,2336,181.60,97.46%,188.80,94.57%,23 Mar 2022,01:43
nelia,2337,181.60,96.68%,192.00,88.76%,19 Oct 2022,21:36
maoiie,2338,181.60,95.88%,194.40,91.51%,21 Jul 2023,07:35
faer,2339,181.59,100.00%,181.59,92.42%,18 Nov 2023,07:18
HexyNexy,2340,181.59,100.00%,181.59,88.21%,12 Nov 2023,06:52
FishyIsTaken,2341,181.59,100.00%,181.59,85.96%,31 Oct 2023,14:40
drdilyor,2342,181.59,100.00%,181.59,92.82%,12 Oct 2023,12:42
infamousss,2343,181.59,99.56%,181.59,87.02%,27 Sep 2023,13:35
kolor,2344,181.59,98.29%,187.19,91.96%,25 Sep 2023,20:59
Derny,2345,181.59,97.48%,190.39,87.85%,27 Oct 2023,03:42
kahow,2346,181.58,97.86%,185.58,85.23%,09 Aug 2021,02:39
koisoysauce,2347,181.57,100.00%,181.57,90.09%,05 Dec 2023,22:12
owareeedaa,2348,181.57,100.00%,181.57,92.05%,24 Oct 2023,16:55
samuraikai,2349,181.57,99.57%,184.77,75.73%,27 Oct 2023,09:52
Evo01,2350,181.57,99.15%,187.17,86.59%,20 Nov 2023,14:01
Evo01,2350,181.57,99.15%,187.17,86.59%,20 Nov 2023,14:01
Snuw,2351,181.57,98.72%,187.97,89.15%,19 Apr 2021,07:53
caidensanders,2352,181.57,97.87%,186.37,84.25%,03 Jul 2021,18:13
Uchimama,2353,181.56,100.00%,181.56,92.42%,13 Sep 2023,03:07
zeus.,2354,181.56,100.00%,181.56,87.26%,07 Sep 2023,16:19
typingmango,2355,181.56,100.00%,181.56,92.05%,21 Aug 2023,11:01
Anthony.Csr,2356,181.56,99.56%,181.56,85.17%,28 Aug 2023,22:03
wrongzoo,2357,181.56,98.70%,184.76,90.28%,16 Jul 2021,20:34
MK314,2358,181.56,97.44%,187.16,92.67%,08 Sep 2023,20:47
Ilis21701,2359,181.55,100.00%,181.55,90.09%,22 Dec 2023,11:52
genevatypes,2360,181.55,100.00%,181.55,86.17%,16 Dec 2023,00:26
coralsss,2361,181.55,100.00%,181.55,90.39%,29 Nov 2023,22:23
spydermantoo,2362,181.55,100.00%,181.55,90.70%,07 Sep 2023,16:53
eh_otay,2363,181.55,99.56%,181.55,81.67%,23 Oct 2023,21:55
LlivNaes,2364,181.55,98.71%,185.54,86.47%,16 Oct 2023,21:41
Coleyhead123,2365,181.55,98.71%,186.35,91.57%,07 Sep 2023,05:17
TrustyPwo,2366,181.55,97.47%,189.55,91.93%,20 Dec 2023,02:40
Hellen_Keller,2367,181.55,97.10%,192.74,86.47%,09 Aug 2021,12:56
bluu.fl,2368,181.55,97.06%,188.75,82.05%,19 Oct 2023,22:54
Juggle,2369,181.54,100.00%,181.54,87.26%,28 Nov 2023,12:05
skjoldir,2370,181.54,100.00%,181.54,88.46%,06 Oct 2023,04:17
TheOneWhoCooks,2371,181.54,100.00%,181.54,85.55%,07 Sep 2023,16:38
Mr.Bird,2372,181.54,98.28%,185.54,90.30%,25 Oct 2023,05:32
mook,2373,181.54,94.24%,194.34,83.87%,03 Aug 2023,16:46
codewithmoiz,2374,181.53,100.00%,181.53,85.96%,03 Nov 2023,15:12
itz_smallWORLD,2375,181.53,100.00%,181.53,93.23%,31 Aug 2023,11:41
Qiithy,2376,181.53,99.56%,181.53,87.70%,01 Dec 2023,23:02
iquake,2377,181.53,98.73%,187.93,78.80%,22 Dec 2023,23:08
mannymnz,2378,181.53,98.28%,186.33,91.57%,10 Oct 2023,02:20
Ebaymaster,2379,181.53,97.86%,187.13,91.30%,21 Dec 2023,08:56
UwUnagi,2380,181.52,100.00%,181.52,91.34%,11 Dec 2023,08:51
MarkMango,2381,181.50,100.00%,181.50,88.46%,12 Aug 2023,06:17
chkg2a,2382,181.50,97.89%,189.50,79.43%,29 Aug 2023,09:29
Giouli777,2383,181.48,100.00%,181.48,94.16%,21 Apr 2023,00:01
jbread,2384,181.48,100.00%,182.28,92.82%,16 Apr 2023,14:17
Michpxg,2385,181.48,100.00%,181.48,91.01%,09 Apr 2023,14:48
ghoqst,2386,181.48,100.00%,181.48,91.01%,05 Apr 2023,00:43
robsassack,2387,181.48,100.00%,181.48,92.05%,09 Mar 2023,04:16
yesu_,2388,181.48,100.00%,181.48,84.02%,24 Feb 2023,12:44
aartha,2389,181.48,100.00%,181.48,90.39%,17 Feb 2023,14:32
navreee,2390,181.48,100.00%,181.48,88.72%,12 Jan 2023,12:41
Ryuuik,2391,181.48,100.00%,181.48,95.91%,07 Jan 2023,20:29
Elaeagnifolia,2392,181.48,100.00%,181.48,88.98%,24 Nov 2022,16:51
jonsport,2393,181.48,100.00%,181.48,91.01%,14 Jul 2022,13:15
bananacoconuts,2394,181.48,100.00%,181.48,89.52%,09 Jul 2022,20:25
opalit,2395,181.48,100.00%,181.48,92.05%,06 Jun 2022,04:38
ndcm5,2396,181.48,100.00%,181.48,85.96%,06 Mar 2022,04:10
Dominator,2397,181.48,100.00%,181.48,90.39%,13 Sep 2021,12:06
Carnage_3775,2398,181.48,99.56%,181.48,81.67%,26 Apr 2023,12:31
cavan2094,2399,181.48,99.56%,181.48,84.77%,05 Apr 2023,13:37
jacob20008,2400,181.48,99.13%,184.68,88.68%,11 Jun 2023,21:53
jacob20008,2400,181.48,99.13%,184.68,88.68%,11 Jun 2023,21:53
soniccomicroom,2401,181.48,99.13%,181.48,85.96%,09 Feb 2023,13:11
trinipee,2402,181.48,98.73%,188.67,90.87%,28 Nov 2021,23:53
korvo,2403,181.48,98.71%,186.28,88.76%,12 Apr 2023,21:02
Wunglee,2404,181.48,98.71%,185.48,94.28%,25 Dec 2022,16:34
incorporatedhi,2405,181.48,98.71%,185.48,84.01%,12 Oct 2022,13:46
ethab,2406,181.48,98.29%,187.08,91.63%,02 May 2023,17:03
anduhhalf,2407,181.48,98.27%,183.08,86.84%,07 Dec 2022,13:06
MelonJuice,2408,181.48,97.11%,193.47,89.66%,04 May 2023,13:02
jddkvndkvenc,2409,181.48,96.34%,196.67,94.19%,24 Apr 2023,12:16
arcenvi,2410,181.48,96.34%,196.67,93.40%,16 Feb 2023,18:22
pajorn,2411,181.48,95.51%,195.87,90.34%,06 Jun 2022,12:59
Kayaa,2412,181.48,95.06%,194.27,90.12%,18 Oct 2022,14:51
FireFlash411,2413,181.48,94.19%,206.26,89.77%,13 May 2022,14:25
aidn0828,2414,181.48,93.55%,198.27,90.66%,03 Jun 2022,14:56
PapaBless,2415,181.45,100.00%,181.45,88.72%,09 Feb 2021,04:55
Sardonyx.,2416,181.41,100.00%,181.41,91.34%,04 Oct 2023,12:16
Shanon,2417,181.39,97.50%,191.77,90.59%,03 Nov 2023,03:09
IronLordNinja7,2418,181.36,100.00%,181.36,89.52%,30 Aug 2022,11:57
pianomaster227,2419,181.36,99.56%,182.16,92.33%,04 Aug 2022,01:21
im_15_lmao,2420,181.33,99.13%,181.33,87.02%,07 Sep 2023,11:25
Willno78,2421,181.32,100.00%,181.32,91.01%,11 Sep 2023,02:51
CHduckie,2422,181.24,100.00%,181.24,91.01%,05 Apr 2023,13:05
Geo.,2423,181.12,100.00%,181.12,89.80%,12 May 2023,13:59
d3d,2424,180.83,99.15%,185.59,85.23%,07 Nov 2022,13:59
Spathe,2425,180.80,100.00%,180.80,88.51%,24 Jul 2023,20:29
snotgrrl,2426,180.80,100.00%,180.80,93.84%,07 Jul 2023,17:04
smolsums,2427,180.80,100.00%,180.80,92.54%,24 Feb 2023,17:19
nikoi,2428,180.80,100.00%,180.80,89.87%,19 Dec 2022,08:09
abysswatcher__,2429,180.80,100.00%,180.80,87.07%,25 Nov 2022,16:52
hueman,2430,180.80,100.00%,180.80,87.77%,21 Nov 2022,19:07
